Product;Min. Price;Max. Price;Link;Form Factor;Socket;Chipset;Memory slots;Connectors;Expansion
Gigabyte B550M K;£76.02;£102.92;e-catalog.co.uk/GIGABYTE-B550M-K.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4733 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Asus ROG STRIX B650E-E GAMING WIFI;£225.99;£339.98;e-catalog.co.uk/ASUS-ROG-STRIX-B650E-E-GAMING-WIFI.htm;ATX;AMD AM5;AMD B650E;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 3
ASRock H670M Pro RS;£103.99;£172.37;e-catalog.co.uk/ASROCK-H670M-PRO-RS.htm;micro-ATX;Intel LGA 1700;Intel H670;4 х DDR4, 4800 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
Gigabyte B650M D3HP AX;£114.99;£189.00;e-catalog.co.uk/GIGABYTE-B650M-D3HP-AX.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 7600 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 1
ASRock A620M Pro RS;£94.99;£139.99;e-catalog.co.uk/ASROCK-A620M-PRO-RS.htm;micro-ATX;AMD AM5;AMD A620;4 х DDR5, 7200 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Gigabyte B450M K;£54.49;£62.99;e-catalog.co.uk/GIGABYTE-B450M-K.htm;micro-ATX;AMD AM4;AMD B450;2 х DDR4, 3600 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
Gigabyte B550I AORUS PRO AX;£147.99;£184.99;e-catalog.co.uk/GIGABYTE-B550I-AORUS-PRO-AX.htm;mini-ITX;AMD AM4;AMD B550;2 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 1
Gigabyte B650M AORUS ELITE AX ICE;£171.99;£230.99;e-catalog.co.uk/GIGABYTE-B650M-AORUS-ELITE-AX-ICE.htm;micro-ATX;AMD AM5;AMD B650;4 х DDR5, 8000 MHz;HDMI, DisplayPort, M.2;PCI-E 16x - 2
MSI PRO B650M-B;£89.49;£119.17;e-catalog.co.uk/MSI-PRO-B650M-B.htm;micro-ATX;AMD AM5;AMD B650;2 х DDR5, 6800 MHz;HDMI, M.2;PCI-E 1x - 1, PCI-E 16x - 1
MSI MPG X870E EDGE TI WIFI;£355.09;£558.00;e-catalog.co.uk/MSI-MPG-X870E-EDGE-TI-WIFI.htm;ATX;AMD AM5;AMD X870E;4 х DDR5, 8400 MHz;HDMI, M.2;PCI-E 16x - 3
Asus TUF GAMING B550M-PLUS WIFI II;£124.98;£149.99;e-catalog.co.uk/ASUS-TUF-GAMING-B550M-PLUS-WIFI-II.htm;micro-ATX;AMD AM4;AMD B550;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 1, PCI-E 16x - 2
MSI MAG B550 TOMAHAWK;£131.86;£228.40;e-catalog.co.uk/MSI-MAG-B550-TOMAHAWK.htm;ATX;AMD AM4;AMD B550;4 х DDR4, 4866 MHz;HDMI, DisplayPort, M.2;PCI-E 1x - 2, PCI-E 16x - 2
ASRock B850 Pro RS WiFi;£179.00;£314.00;e-catalog.co.uk/ASROCK-B850-PRO-RS-WIFI.htm;ATX;AMD AM5;AMD B850;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
ASRock X870 Pro RS WiFi;£177.02;£244.51;e-catalog.co.uk/ASROCK-X870-PRO-RS-WIFI.htm;ATX;AMD AM5;AMD X870;4 х DDR5, 8000 MHz;HDMI, M.2;PCI-E 16x - 2
